# bag_unix_ns,px4_us,x_north_m,y_east_m,z_down_m,vx_mps,vy_mps,vz_mps
1.788595734648912384e+18,1.788595728703504000e+15,-2.894383110105991364e-02,8.641054853796958923e-03,1.114691793918609619e-02,3.156266873702406883e-03,-8.218187838792800903e-03,-1.252885675057768822e-03
1.788595734650026752e+18,1.788595728719504000e+15,-2.892709895968437195e-02,8.741918019950389862e-03,1.101616024971008301e-02,3.124880138784646988e-03,-8.057446219027042389e-03,-1.412875601090490818e-03
1.788595734699533056e+18,1.788595728743504000e+15,-2.890809997916221619e-02,8.894455619156360626e-03,1.085385680198669434e-02,3.184717847034335136e-03,-7.911352440714836121e-03,-1.449587056413292885e-03
1.788595734719644672e+18,1.788595728759504000e+15,-2.890576981008052826e-02,9.005388244986534119e-03,1.075355708599090576e-02,3.177761333063244820e-03,-7.768440525978803635e-03,-1.542514888569712639e-03
1.788595734784368384e+18,1.788595728783504000e+15,-2.890550531446933746e-02,9.160939604043960571e-03,1.061746478080749512e-02,3.187898080796003342e-03,-7.645350880920886993e-03,-1.687280600890517235e-03
1.788595734850069248e+18,1.788595728799504000e+15,-2.890401147305965424e-02,9.255619719624519348e-03,1.053787767887115479e-02,3.244069172069430351e-03,-7.594118360430002213e-03,-1.651075086556375027e-03
1.788595734929320704e+18,1.788595728823504000e+15,-2.895370498299598694e-02,9.392281994223594666e-03,1.041124761104583740e-02,3.263821592554450035e-03,-7.453107740730047226e-03,-1.772322808392345905e-03
1.788595734940624384e+18,1.788595728839504000e+15,-2.900362573564052582e-02,9.465599432587623596e-03,1.032663881778717041e-02,3.255366813391447067e-03,-7.393382955342531204e-03,-1.809767563827335835e-03
1.788595734960507904e+18,1.788595728863504000e+15,-2.910292334854602814e-02,9.550601243972778320e-03,1.019252836704254150e-02,3.143739420920610428e-03,-7.337023504078388214e-03,-1.993592595681548119e-03
1.788595735059878912e+18,1.788595728879504000e+15,-2.919338084757328033e-02,9.558027610182762146e-03,1.010419428348541260e-02,3.106377786025404930e-03,-7.336217444390058517e-03,-2.041894709691405296e-03
1.788595735088433408e+18,1.788595728903504000e+15,-2.931526489555835724e-02,9.560085833072662354e-03,1.000030338764190674e-02,3.104996634647250175e-03,-7.344480603933334351e-03,-2.062431536614894867e-03
1.788595735108061696e+18,1.788595728919504000e+15,-2.939145080745220184e-02,9.522964246571063995e-03,9.938240051269531250e-03,3.145444206893444061e-03,-7.428804412484169006e-03,-2.091228263452649117e-03
1.788595735173125632e+18,1.788595728943504000e+15,-2.950874902307987213e-02,9.455609135329723358e-03,9.827181696891784668e-03,3.174528246745467186e-03,-7.462472654879093170e-03,-2.208181656897068024e-03
1.788595735192353280e+18,1.788595728959504000e+15,-2.959812618792057037e-02,9.399173781275749207e-03,9.750977158546447754e-03,3.211059840396046638e-03,-7.602406200021505356e-03,-2.275981009006500244e-03
1.788595735244350976e+18,1.788595728983504000e+15,-2.977150492370128632e-02,9.303125552833080292e-03,9.650409221649169922e-03,3.121410263702273369e-03,-7.681996095925569534e-03,-2.260113367810845375e-03
1.788595735304767488e+18,1.788595728999504000e+15,-2.989467978477478027e-02,9.233465418219566345e-03,9.595245122909545898e-03,3.072788938879966736e-03,-7.809878326952457428e-03,-2.201865194365382195e-03
1.788595735324374272e+18,1.788595729023504000e+15,-3.013459779322147369e-02,9.115993976593017578e-03,9.507372975349426270e-03,2.969475230202078819e-03,-7.810851559042930603e-03,-2.297235187143087387e-03
1.788595735424754688e+18,1.788595729039504000e+15,-3.030395880341529846e-02,9.030163288116455078e-03,9.460225701332092285e-03,2.941624727100133896e-03,-7.874372415244579315e-03,-2.281982218846678734e-03
1.788595735461719552e+18,1.788595729063504000e+15,-3.057168982923030853e-02,8.889548480510711670e-03,9.375929832458496094e-03,2.770018298178911209e-03,-8.025010116398334503e-03,-2.240992151200771332e-03
1.788595735506957824e+18,1.788595729079504000e+15,-3.074252791702747345e-02,8.784621022641658783e-03,9.290382266044616699e-03,2.703642239794135094e-03,-8.096481673419475555e-03,-2.235078718513250351e-03
1.788595735545681920e+18,1.788595729103504000e+15,-3.097201697528362274e-02,8.622529916465282440e-03,9.137406945228576660e-03,2.656625350937247276e-03,-8.258567191660404205e-03,-2.365423832088708878e-03
1.788595735564798208e+18,1.788595729119504000e+15,-3.110159561038017273e-02,8.511410094797611237e-03,9.011432528495788574e-03,2.595198107883334160e-03,-8.354300633072853088e-03,-2.382906153798103333e-03
1.788595735657183744e+18,1.788595729143504000e+15,-3.128044307231903076e-02,8.352763950824737549e-03,8.827045559883117676e-03,2.545399591326713562e-03,-8.431880734860897064e-03,-2.282349159941077232e-03
1.788595735702353408e+18,1.788595729159504000e+15,-3.138858824968338013e-02,8.248289115726947784e-03,8.708417415618896484e-03,2.559008542448282242e-03,-8.456853218376636505e-03,-2.353095216676592827e-03
1.788595735721267712e+18,1.788595729183504000e+15,-3.151974827051162720e-02,8.089504204690456390e-03,8.515909314155578613e-03,2.515209605917334557e-03,-8.581217378377914429e-03,-2.436608308926224709e-03
1.788595735828707072e+18,1.788595729199504000e+15,-3.159252926707267761e-02,7.981039583683013916e-03,8.370473980903625488e-03,2.623387612402439117e-03,-8.662076666951179504e-03,-2.415888942778110504e-03
1.788595735829856768e+18,1.788595729223504000e+15,-3.170962259173393250e-02,7.850413210690021515e-03,8.165806531906127930e-03,2.652338007465004921e-03,-8.672951720654964447e-03,-2.472698455676436424e-03
1.788595735878907392e+18,1.788595729239504000e+15,-3.179815411567687988e-02,7.775362115353345871e-03,8.031412959098815918e-03,2.685143612325191498e-03,-8.646474219858646393e-03,-2.465225057676434517e-03
1.788595735954511616e+18,1.788595729263504000e+15,-3.194605559110641479e-02,7.680728100240230560e-03,7.835298776626586914e-03,2.714028581976890564e-03,-8.640687912702560425e-03,-2.533352002501487732e-03
1.788595735974129664e+18,1.788595729279504000e+15,-3.204837068915367126e-02,7.648298516869544983e-03,7.716447114944458008e-03,2.650802722200751305e-03,-8.562617003917694092e-03,-2.562352223321795464e-03
1.788595736065908736e+18,1.788595729303504000e+15,-3.218516707420349121e-02,7.604854181408882141e-03,7.558181881904602051e-03,2.618686761707067490e-03,-8.570503443479537964e-03,-2.611945616081357002e-03
1.788595736066942720e+18,1.788595729319504000e+15,-3.226329013705253601e-02,7.584752514958381653e-03,7.465839385986328125e-03,2.630080329254269600e-03,-8.602567948400974274e-03,-2.632873365655541420e-03
1.788595736154063104e+18,1.788595729343504000e+15,-3.237048909068107605e-02,7.543919607996940613e-03,7.327005267143249512e-03,2.626100322231650352e-03,-8.575716987252235413e-03,-2.723691985011100769e-03
1.788595736199219712e+18,1.788595729359504000e+15,-3.243375569581985474e-02,7.510849740356206894e-03,7.236316800117492676e-03,2.671543508768081665e-03,-8.517743088304996490e-03,-2.725756028667092323e-03
1.788595736219967744e+18,1.788595729383504000e+15,-3.249734640121459961e-02,7.417038083076477051e-03,7.100254297256469727e-03,2.810699166730046272e-03,-8.515790104866027832e-03,-2.728435443714261055e-03
1.788595736286916864e+18,1.788595729399504000e+15,-3.253545984625816345e-02,7.346418220549821854e-03,6.990537047386169434e-03,2.837917068973183632e-03,-8.643027395009994507e-03,-2.751522464677691460e-03
1.788595736308825088e+18,1.788595729423504000e+15,-3.258670866489410400e-02,7.231479976326227188e-03,6.841048598289489746e-03,2.815226791426539421e-03,-8.571221493184566498e-03,-2.748074010014533997e-03
1.788595736409705216e+18,1.788595729439504000e+15,-3.261633589863777161e-02,7.156646344810724258e-03,6.723374128341674805e-03,2.899602986872196198e-03,-8.539686910808086395e-03,-2.719726646319031715e-03
1.788595736470380800e+18,1.788595729463504000e+15,-3.265248984098434448e-02,7.047364022582769394e-03,6.556704640388488770e-03,2.958685159683227539e-03,-8.471295237541198730e-03,-2.770158462226390839e-03
1.788595736489464832e+18,1.788595729479504000e+15,-3.269969299435615540e-02,6.986033637076616287e-03,6.441324949264526367e-03,3.018944058567285538e-03,-8.429162204265594482e-03,-2.769384998828172684e-03
