# bag_elapsed_wall_s,target_right_m,target_down_m,target_forward_m
1.513490252799999958e+01,-6.851633554729587294e-02,3.954727371288578597e-02,4.290406497965161270e-01
1.539283507200000045e+01,-6.603559529904677594e-02,4.213585942932771694e-02,5.382082704265462869e-01
1.578007244800000031e+01,-6.163929218428366996e-02,4.579222301872866441e-02,6.586209922130218386e-01
1.588405683200000063e+01,-6.146628795290787206e-02,4.617334998498333343e-02,6.874187770210401505e-01
1.701361535999999930e+01,-6.139320954586317131e-02,7.090945357662587455e-03,1.029269876492813651e+00
1.720782207999999969e+01,-6.475913111254968935e-02,-4.503763965486052255e-03,1.085374808967376703e+00
1.730484940799999904e+01,-6.635770482037324502e-02,-8.738379023413296587e-03,1.112240495446287003e+00
1.786889241600000133e+01,-6.788344015454883529e-02,4.522664802501441192e-03,1.264612177688994921e+00
1.823777689599999974e+01,-6.365625701708070572e-02,1.908123552950962906e-02,1.374110441165910412e+00
1.832919628799999856e+01,-6.238107762650231536e-02,2.207408834222045549e-02,1.402668746954373935e+00
1.905246796799999842e+01,-5.207503121003251301e-02,3.124501873538031854e-02,1.606697326808869564e+00
1.942945894400000029e+01,-4.656832720628371891e-02,2.914560614298216876e-02,1.705850987824594434e+00
1.952790732800000129e+01,-4.566638734621387974e-02,2.954786718839837525e-02,1.727848969441212024e+00
1.991542400000000157e+01,-4.222105664529551827e-02,2.533263399279944705e-02,1.823734718321422754e+00
2.011276441600000098e+01,-3.960587614306174120e-02,2.055990375530254710e-02,1.861631749400491254e+00
2.030134272000000095e+01,-3.834764263282137292e-02,1.686857705265112223e-02,1.917488105878599081e+00
2.060308582400000077e+01,-3.582136571321987289e-02,1.176911409869982501e-02,1.980653197494643525e+00
2.162409395199999906e+01,-3.278248047907023066e-02,-4.593803391155085764e-13,2.212556680556169830e+00
2.171695513599999927e+01,-3.511916989712776660e-02,-2.065833523794405845e-03,2.230837299062781387e+00
2.236907827199999943e+01,-3.695093421063010836e-02,-2.173584423636941172e-03,2.347194489705699105e+00
2.285260185599999971e+01,-4.208628155607897769e-02,-3.916084541332524184e-06,2.399429899549511802e+00
2.315266918400000051e+01,-4.469847475150384025e-02,2.254902873853306157e-03,2.420953583911447993e+00
2.334617446400000063e+01,-4.728962166662101924e-02,2.251886734468258166e-03,2.431751101201167220e+00
2.343833087999999876e+01,-4.818566958570606740e-02,3.107720880376238504e-03,2.435708682422094373e+00
2.361899929599999837e+01,-5.225329784489775309e-02,6.815647545731854003e-03,2.453343987227175838e+00
2.370945868800000156e+01,-5.297875975104007068e-02,7.808441476053542239e-03,2.447181515598476853e+00
2.381393331199999963e+01,-5.453644103574496055e-02,9.089406836769757178e-03,2.453850656620299997e+00
2.399022003199999986e+01,-5.732979968373411173e-02,1.146595993348103505e-02,2.476355505668397239e+00
2.408085196800000105e+01,-5.638302526607162635e-02,1.044830174894485243e-02,2.482014102441115977e+00
2.417173427199999836e+01,-6.033754187627447113e-02,1.148603848066324408e-02,2.487030558962507687e+00
2.436285824000000133e+01,-6.267830909859693767e-02,1.425061689904338381e-02,2.498505690062831519e+00
2.445787699199999921e+01,-6.412994075429977181e-02,1.491733223332915650e-02,2.503023362698669096e+00
2.455155532799999918e+01,-6.649035918307799609e-02,1.246914840116113664e-02,2.514351904491915590e+00
2.502211123200000031e+01,-7.086196148586219878e-02,1.672629486210079966e-02,2.558684928414279192e+00
2.531369011199999974e+01,-7.314620485142617201e-02,1.771199204387748083e-02,2.574322421224473967e+00
2.549912524799999858e+01,-7.778960781186981810e-02,1.529247449875549558e-02,2.599615381995983743e+00
